id,sentence,created_at,ave_sentiment,user_username
43,"#CaseforCoal: Don’t Bet Only on the Sun and the Wind - https://t.co/JBHDthRU3M…/dont-bet-only-on-sun-wind/

Source: Morning Consult",2019-12-16T18:36:17.000Z,0,peabodyenergy
44,"#CaseforCoal: Can’t We Just Replace Coal with Renewables? (Hint: No) – https://t.co/30Mxm9Zkgd Source: @AmericasPower

More on the #CaseforCoal: https://t.co/UmUoL4N3yK https://t.co/DpB5bxz3FA",2019-12-13T18:58:56.000Z,0,peabodyenergy
45,Peabody is proud to be nominated in the Corporate Deal of the Year Category of the 2019 @SPGlobalPlatts Global Energy Awards for the acquisition of our Shoal Creek Mine. Congratulations to our team members who helped make the deal a success. #CoalDoneRight https://t.co/8suvgxtK8N,2019-12-12T20:21:09.000Z,0.386643152,peabodyenergy
46,RT @WorldCoal: '#Coal-power stations equipped with #CCS deliver dispatchable low emissions baseload electricity while ensuring grid resilie…,2019-12-12T20:18:02.000Z,0.188561808,peabodyenergy
47,#PeabodyPeople: Congratulations to Peabody’s EVP and CFO Amy Schwetz for being recognized with one of the St. Louis Business Journal’s inaugural C-Suite Awards for 2019. Amy was nominated for making outstanding contributions to the local business community. https://t.co/fpdygR3Nxm,2019-12-06T20:46:24.000Z,0.222510818,peabodyenergy
48,"#NationalMinersDay: Peabody joins orgs across the U.S. today to recognize the thousands of men and women who work in our nation’s mines. We recognize our miners’ commitment to providing affordable, reliable energy and an essential ingredient in steelmaking every day https://t.co/hmImfIT7Id",2019-12-06T17:15:36.000Z,0.359138581,peabodyenergy
49,RT @stlouisbiz: Amy Schwetz has made big contributions at St. Louis-based coal miner Peabody Energy. https://t.co/FhQcA7c38H,2019-12-06T16:35:37.000Z,0.034105396,peabodyenergy
50,"#CaseforCoal: The need for countries to access affordable and reliable energy, combined with the continued development of their economies, will result in persistently high coal demand for the foreseeable future. https://t.co/UmUoL4N3yK https://t.co/pvFBb9fyuZ",2019-12-02T22:17:28.000Z,0.039851295,peabodyenergy
51,"The Peabody team wishes you a safe and #HappyThanksgiving! To ensure you and your families are safe this holiday, check out these tips from the National Fire Protection Association: https://t.co/rJrlDUlhWz",2019-11-28T23:21:42.000Z,0.554313344,peabodyenergy
52,We are #thankful for the many contributions our team members make to their local communities! #HappyThanksgiving! https://t.co/2BzNBcRxSW,2019-11-27T19:02:52.000Z,0.126064623,peabodyenergy
53,"#PeabodyPeople: 15 families in need in the Lynnville, Ind. area will receive #Thanksgiving food baskets as a result of donations made by our Wild Boar Mine team. The baskets include food for an entire holiday meal and additional items were donated to the local food bank. https://t.co/b5VWQLpGVV",2019-11-27T19:02:50.000Z,0.25785688,peabodyenergy
54,"RT @WorldCoal: Worldwide, 860 million people are living without access to #electricity and nearly 2.6 billion rely on traditional fuels for…",2019-11-27T19:00:57.000Z,0.195003374,peabodyenergy
55,"The rankings are based on 1,700 sell- and buy-side members of the investment community who voted between May and June of 2019. https://t.co/E88bd6cZMg",2019-11-25T21:44:51.000Z,0.071447112,peabodyenergy
56,"Peabody is proud to be recognized with three number-one honors in the small- to mid-cap size and sector by the highly influential Institutional Investor Magazine: Best in ESG/SRI Metrics, Best in Corporate Governance and Best Analyst Days (1/2) https://t.co/J9pSgJru3t",2019-11-25T21:44:50.000Z,0.722465585,peabodyenergy
57,"RT @WorldCoal: #ICYMI: According to the IEA’s World Energy Outlook 2019, #coal is the largest single source of electricity and second-large…",2019-11-25T21:43:39.000Z,0,peabodyenergy
58,"The awards were presented at POWER-GEN International in New Orleans, La., and included the categories of High-Efficiency, Low-Emissions (HELE) Innovator; Carbon Capture, Use and Storage (CCUS) Innovator; Clean Coal Advocate and Clean Coal Educator. (2/2) https://t.co/cNYapAwFrK",2019-11-21T16:41:17.000Z,0.47725869,peabodyenergy
59,"Congratulations to Peabody's 2019 Global Clean Coal Leadership Awards winners: Electric Power Research Institute, Mitsubishi Heavy Industries, Carbon Utilization Research Council and Professor Richard Axelbaum, Washington University in St. Louis! (1/2) https://t.co/takW3CS1RI",2019-11-21T16:41:15.000Z,0.466124475,peabodyenergy
60,"Peabody's commitment to diversity fosters a welcoming environment for all our team members. Today, we are celebrating our diverse male workforce for #InternationalMensDay2019 https://t.co/sA4zGwbqYE",2019-11-19T22:45:25.000Z,0.304837157,peabodyenergy
61,RT @LouCaruana: Rae O'Brien was distinguished by her operational exposure as an underground mining technician in the NSW #coal #mining indu…,2019-11-18T19:50:22.000Z,0.130930734,peabodyenergy
62,"Oh, oh, We know this one! What is #BTU? Thanks for the shout out @Jeopardy!​ #AlexTrebek #CoalDoneRight https://t.co/6m6S8WWu3q https://t.co/mfIlNBFziT",2019-11-15T16:59:35.000Z,-0.044804543,peabodyenergy
63,"Peabody team members donated blood this week to support the American Red Cross. Blood donations are essential for surgeries, cancer treatment, chronic illnesses and traumatic injuries. Blood donations save lives. @redcrossstl  @Colliers_STL https://t.co/D6AvtqbfVc",2019-11-13T21:57:59.000Z,-0.090358193,peabodyenergy
64,implementing best practice analysis will be an asset to the Metropolitan operation. Congratulations to Rae as she begins her new role at Metropolitan Mine! 2/2 https://t.co/MkX9ICsLOn,2019-11-12T19:01:56.000Z,0.300644388,peabodyenergy
