sentence,created_at,ave_sentiment,user_username
RT @HollyWildChild: We stand up for our future because our politicians are doing nothing to save us from the climate and ecological catastr…,2019-02-20T19:42:31.000Z,0.104257207,Fridays4future
"RT @AlexandriaV2005: @SNagakumaran @ironperry @GretaThunberg @Luisamneubauer @SophiaMathur @AnunaDe YAY!!! India, Nepal, Sudan &amp; Sri Lanka…",2019-02-20T19:42:17.000Z,0.181895443,Fridays4future
"RT @ironperry: #FridaysForFuture #strike4climate children of India, Sudan, Sri Lanka, Nepal at Asia Plateau demanding change to stop climat…",2019-02-20T19:42:14.000Z,-0.368951216,Fridays4future
"@JoCamargo83 @DormouseRoared register here and we will get it on 4 maps,
thanks
https://t.co/D9l0mLVOrf",2019-02-19T23:10:58.000Z,0.141421356,Fridays4future
RT @Greenpeace: 100 years of #climate anomalies in 15 seconds. Wait until the end... There is no more time to wait. We must act on #climate…,2019-02-17T11:53:32.000Z,-0.034808614,Fridays4future
@HjalmarNowak @KevinClimate The library often has the DVD,2019-02-15T21:48:30.000Z,0.212132034,Fridays4future
https://t.co/Ip1UE8pkSq,2019-02-15T21:46:56.000Z,0,Fridays4future
https://t.co/D9l0mLVOrf https://t.co/GvCKwtKTak,2019-02-14T19:34:02.000Z,0,Fridays4future
"Are you one the map?
https://t.co/4XeFLdgSs2",2019-02-14T19:32:24.000Z,0,Fridays4future
RT @Panachevert: Et le 22 elle sera à Paris pour la #grevepourleclimat @YouthFrance @Fridays4future Bienvenue chez nous @GretaThunberg http…,2019-02-14T14:19:10.000Z,0,Fridays4future
RT @Panachevert: @NandanMukherjee  @BRACworld  we need bangladi input. Fill that blank. Please step into #climatestrike @Fridays4future htt…,2019-02-14T12:41:56.000Z,0.184539713,Fridays4future
"@jonathanwatts Hi, Dorhouse mouse mentioned that we should connect.",2019-02-14T11:27:07.000Z,0,Fridays4future
"@kevinclimate thank you! Professor Kevin Anderson, Joint chair of Energy and Climate Change at Manchester and Uppsala Universities https://t.co/bFXx4p7yJd",2019-02-13T18:38:25.000Z,0.187981145,Fridays4future
RT @DavidDurant: Well done @AnnaUKSCN for standing for your beliefs and more importantly for caring enough to make a stand.  No point in re…,2019-02-11T17:01:20.000Z,-0.012201917,Fridays4future
RT @fridaysforfutu6: Great piece of art reposted over on Instagram by @Strike4Youth !💚🌎#YouthStrike4Climate #Youth4Climate #FridaysForFutur…,2019-02-11T17:00:31.000Z,0.271057599,Fridays4future
RT @Danika_Dinsmore: It's Canadian Declaration of Rebellion Week! We demand the Govt tell the truth abt #climatechange &amp; act accordingly. F…,2019-02-11T17:00:05.000Z,0.005827373,Fridays4future
"RT @speakerpolitics: On Friday, the first UK wide school climate strike is set to occur in more than 30 cities and towns.

#ClimateChange #…",2019-02-11T16:44:37.000Z,-0.08930889,Fridays4future
"RT @hownowmag: Banner making for @Strike4Youth in prep for #YouthStrike4Climate February 15th, #parliamentsquare 11am to 2pm #extinctionreb…",2019-02-11T16:44:07.000Z,-0.080295507,Fridays4future
RT @fridaysforfutu6: We have decided to meet at County Hall @ 9:30am now on Friday as the cabinet will be arriving then for their meeting @…,2019-02-11T16:43:49.000Z,0,Fridays4future
"@AnnaUKSCN @Strike4Youth @Greenpeace well done Anna, thank you!",2019-02-11T16:43:37.000Z,0.316666667,Fridays4future
"RT @ExtinctionR: UK @Strike4Youth events:
https://t.co/nzbbKMRjTj

#FridaysForFuture 👨🏾‍🎓
#YouthStrike4Climate 👩🏼‍🎓
https://t.co/vqFidKZlhy…",2019-02-11T16:42:52.000Z,-0.084887469,Fridays4future
"@natalieben @Strike4Youth True!!
The selfie represented attendance to 'Life useful experience!'.
The teachers are even giving higher marks to those attending strikes, because it is proof that the students have understood their lessons properly!",2019-02-11T16:42:24.000Z,0.091904605,Fridays4future
RT @natalieben: #climatestrike Was told in Belgium that pupils were not marked absent if they can show a selfie of themselves at a march/ev…,2019-02-11T16:40:31.000Z,0.12,Fridays4future
"RT @Strike4Youth: We are growing!!!!
*38* cities and towns across the UK striking with us on 15th February!!!!

Want to strike but not on t…",2019-02-11T16:38:45.000Z,0.109444257,Fridays4future
"Welcome to our UK cousins!! 
Big stike this week!
https://t.co/8cImB4QdNr",2019-02-11T16:38:22.000Z,0.123071519,Fridays4future
RT @AmandaTatts: Amazing alliances of unions and students all joining to stop climate change. Congratulations to @NTEUNational @NatUnionWor…,2019-02-11T16:35:34.000Z,0.200863062,Fridays4future
"@itsruthalicia @Strike4Youth @fridays4future #fridaysforfuture
Thank you!! Well Done! #Strongertogether

did you see the map of all the strikes?",2019-02-11T16:33:21.000Z,0.218431246,Fridays4future
@Herolias https://t.co/3sZWQzUMVN,2019-02-10T16:23:39.000Z,0,Fridays4future
#FridaysForFuture Students will explain to Stockholmers why they strike! https://t.co/GAWVAfqjZB,2019-02-10T15:55:40.000Z,-0.136421582,Fridays4future
"International call tonight!
We will plan the 15th of March.
Please put the link for more information 💚🌍

https://t.co/nOIq0VVVLk",2019-02-03T08:59:36.000Z,0.355180225,Fridays4future
RT @releaf4us: It's snowing! Good luck to all my fellow strikers! #FridaysForFuture #ClimateStrike #SchoolStrike4Climate #healthygreenmd #G…,2019-02-01T16:20:47.000Z,0.350625455,Fridays4future
RT @AlexandriaV2005: WEEK 8 of my @UN #ClimateStrike in the NYC polar vortex. I prepared all week for this and realized climate change will…,2019-02-01T16:20:26.000Z,0.08226531,Fridays4future
RT @releaf4us: Thank you @RobbynLewis46th for bringing us hot chocolate the other day! I appreciate your support! #FridaysForFuture #health…,2019-01-27T07:22:15.000Z,0.254000065,Fridays4future
RT @fischerdata: @lenaparon @GretaThunberg jätte bra. fortsätt bara. Vi blir allt fler i hela världen. hälsning ifrån Berlin #FridaysForFut…,2019-01-27T07:21:58.000Z,0,Fridays4future
